_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
1,2012Q1,S08000015,"",S08000015,All Cancer Types,d,169,"",164,""
2,2012Q1,S08000015,"",S08000017,All Cancer Types,d,2,"",2,""
3,2012Q1,S08000015,"",S08000020,All Cancer Types,d,1,"",1,""
4,2012Q1,S08000015,"",S08000031,All Cancer Types,d,26,"",21,""
5,2012Q1,S08000015,"",SB0801,All Cancer Types,d,2,"",2,""
6,2012Q1,S08000016,"",S08000016,All Cancer Types,d,61,"",61,""
7,2012Q1,S08000016,"",S08000024,All Cancer Types,d,10,"",9,""
8,2012Q1,S08000017,"",S08000017,All Cancer Types,d,83,"",83,""
9,2012Q1,S08000017,"",S08000024,All Cancer Types,d,16,"",14,""
10,2012Q1,S08000017,"",S08000031,All Cancer Types,d,2,"",2,""
11,2012Q1,S08000017,"",SB0801,All Cancer Types,d,1,"",1,""
12,2012Q1,S08000019,"",S08000019,All Cancer Types,d,136,"",124,""
13,2012Q1,S08000019,"",S08000024,All Cancer Types,d,1,"",1,""
14,2012Q1,S08000019,"",S08000031,All Cancer Types,d,30,"",28,""
15,2012Q1,S08000019,"",SB0801,All Cancer Types,d,3,"",3,""
16,2012Q1,S08000020,"",S08000020,All Cancer Types,d,280,"",254,""
17,2012Q1,S08000022,"",S08000020,All Cancer Types,d,1,"",1,""
18,2012Q1,S08000022,"",S08000022,All Cancer Types,d,153,"",147,""
19,2012Q1,S08000022,"",S08000024,All Cancer Types,d,2,"",2,""
20,2012Q1,S08000022,"",S08000031,All Cancer Types,d,6,"",6,""
21,2012Q1,S08000024,"",S08000016,All Cancer Types,d,4,"",4,""
22,2012Q1,S08000024,"",S08000019,All Cancer Types,d,1,"",1,""
23,2012Q1,S08000024,"",S08000024,All Cancer Types,d,554,"",531,""
24,2012Q1,S08000024,"",S08000029,All Cancer Types,d,3,"",3,""
25,2012Q1,S08000025,"",S08000020,All Cancer Types,d,4,"",2,""
26,2012Q1,S08000025,"",S08000025,All Cancer Types,d,3,"",3,""
27,2012Q1,S08000026,"",S08000020,All Cancer Types,d,6,"",5,""
28,2012Q1,S08000026,"",S08000026,All Cancer Types,d,10,"",10,""
29,2012Q1,S08000028,"",S08000022,All Cancer Types,d,1,"",1,""
30,2012Q1,S08000028,"",S08000028,All Cancer Types,d,10,"",10,""
31,2012Q1,S08000028,"",SB0801,All Cancer Types,d,2,"",2,""
32,2012Q1,S08000029,"",S08000024,All Cancer Types,d,28,"",22,""
33,2012Q1,S08000029,"",S08000029,All Cancer Types,d,160,"",150,""
34,2012Q1,S08000029,"",S08000030,All Cancer Types,d,3,"",3,""
35,2012Q1,S08000030,"",S08000020,All Cancer Types,d,1,"",1,""
36,2012Q1,S08000030,"",S08000024,All Cancer Types,d,4,"",3,""
37,2012Q1,S08000030,"",S08000030,All Cancer Types,d,218,"",209,""
38,2012Q1,S08000031,"",S08000022,All Cancer Types,d,2,"",1,""
39,2012Q1,S08000031,"",S08000024,All Cancer Types,d,1,"",1,""
40,2012Q1,S08000031,"",S08000031,All Cancer Types,d,680,"",649,""
41,2012Q1,S08000031,"",S08000032,All Cancer Types,d,4,"",4,""
42,2012Q1,S08000031,"",SB0801,All Cancer Types,d,9,"",7,""
43,2012Q1,S08000032,"",S08000031,All Cancer Types,d,49,"",46,""
44,2012Q1,S08000032,"",S08000032,All Cancer Types,d,218,"",212,""
45,2012Q1,S08000032,"",SB0801,All Cancer Types,d,9,"",9,""
46,2012Q1,S92000003,d,S08000015,All Cancer Types,d,169,"",164,""
47,2012Q1,S92000003,d,S08000016,All Cancer Types,d,65,"",65,""
48,2012Q1,S92000003,d,S08000017,All Cancer Types,d,85,"",85,""
49,2012Q1,S92000003,d,S08000019,All Cancer Types,d,137,"",125,""
50,2012Q1,S92000003,d,S08000020,All Cancer Types,d,293,"",264,""
51,2012Q1,S92000003,d,S08000022,All Cancer Types,d,156,"",149,""
52,2012Q1,S92000003,d,S08000024,All Cancer Types,d,616,"",583,""
53,2012Q1,S92000003,d,S08000025,All Cancer Types,d,3,"",3,""
54,2012Q1,S92000003,d,S08000026,All Cancer Types,d,10,"",10,""
